ID,Year,Erupt Date,Name,Location,Island,Country,Latitude,Longitude,Geo Location,Elevation (m),Type
151,1994,11/22/1994,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
152,1995,5/15/1995,Kelimutu,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.77,121.82,"-8.77,121.82",1639,Complex volcano
153,1997,1/14/1997,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
154,1997,4/17/1997,Karangetang,Sangihe Is-Indonesia,Sangihe,Indonesia,2.781,125.407,"2.781,125.407",1797,Stratovolcano
155,1997,9/2/1997,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
156,1998,7/1/1998,Kelut,Java,Java,Indonesia,-7.93,112.308,"-7.93,112.308",1731,Stratovolcano
157,2000,7/27/2000,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
158,2000,11/1/2000,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
159,2001,8/5/2001,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
160,2002,1/3/2002,Karangetang,Sangihe Is-Indonesia,Sangihe,Indonesia,2.781,125.407,"2.781,125.407",1797,Stratovolcano
161,2002,1/1/2002,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
162,2004,1/29/2004,Egon,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.676,122.455,"-8.676,122.455",1661,Stratovolcano
163,2004,6/8/2004,Tengger Caldera,Java,Java,Indonesia,-7.942,112.95,"-7.942,112.95",2329,Stratovolcano
164,2006,6/14/2006,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
165,2007,7/7/2007,Salak,Java,Java,Indonesia,-6.72,106.73,"-6.72,106.73",2211,Stratovolcano
166,2010,8/6/2010,Karangetang,Sangihe Is-Indonesia,Sangihe,Indonesia,2.781,125.407,"2.781,125.407",1797,Stratovolcano
167,2010,8/30/2010,Sinabung,Sumatra,Sumatra,Indonesia,3.17,98.392,"3.17,98.392",2460,Stratovolcano
168,2010,10/26/2010,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
169,2010,12/28/2010,Tengger Caldera,Java,Java,Indonesia,-7.942,112.95,"-7.942,112.95",2329,Stratovolcano
170,2011,1/3/2011,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
171,2011,3/18/2011,Karangetang,Sangihe Is-Indonesia,Sangihe,Indonesia,2.781,125.407,"2.781,125.407",1797,Stratovolcano
172,2011,7/17/2011,Lokon-Empung,Sulawesi-Indonesia,Sulawesi,Indonesia,1.358,124.792,"1.358,124.792",1580,Stratovolcano
173,2011,12/27/2011,Gamalama,Halmahera-Indonesia,Halmahera,Indonesia,0.8,127.33,"0.8,127.33",1715,Stratovolcano
174,2013,2/12/2013,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
175,2013,2/1/2013,Paluweh,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.32,121.708,"-8.32,121.708",875,Stratovolcano
176,2013,8/10/2013,Paluweh,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.32,121.708,"-8.32,121.708",875,Stratovolcano
177,2013,9/15/2013,Sinabung,Sumatra,Sumatra,Indonesia,3.17,98.392,"3.17,98.392",2460,Stratovolcano
178,2014,2/1/2014,Sinabung,Sumatra,Sumatra,Indonesia,3.17,98.392,"3.17,98.392",2460,Stratovolcano
179,2014,2/13/2014,Kelut,Java,Java,Indonesia,-7.93,112.308,"-7.93,112.308",1731,Stratovolcano
180,2014,12/18/2014,Gamalama,Halmahera-Indonesia,Halmahera,Indonesia,0.8,127.33,"0.8,127.33",1715,Stratovolcano
181,2015,2/20/2015,Sinabung,Sumatra,Sumatra,Indonesia,3.17,98.392,"3.17,98.392",2460,Stratovolcano
182,2015,5/7/2015,Karangetang,Sangihe Is-Indonesia,Sangihe,Indonesia,2.781,125.407,"2.781,125.407",1797,Stratovolcano
183,2015,10/16/2015,Sinabung,Sumatra,Sumatra,Indonesia,3.17,98.392,"3.17,98.392",2460,Stratovolcano
184,2016,5/9/2016,Sinabung,Sumatra,Sumatra,Indonesia,3.17,98.392,"3.17,98.392",2460,Stratovolcano
185,2016,5/21/2016,Sinabung,Sumatra,Sumatra,Indonesia,3.17,98.392,"3.17,98.392",2460,Stratovolcano
186,2016,9/27/2016,Rinjani,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.42,116.47,"-8.42,116.47",3726,Stratovolcano
187,2017,4/13/2017,Sinabung,Sumatra,Sumatra,Indonesia,3.17,98.392,"3.17,98.392",2460,Stratovolcano
188,2017,7/1/2017,Dieng Volcanic Complex,Java,Java,Indonesia,-7.2,109.879,"-7.2,109.879",2565,Complex volcano
189,2017,12/18/2017,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
190,2017,12/27/2017,Sinabung,Sumatra,Sumatra,Indonesia,3.17,98.392,"3.17,98.392",2460,Stratovolcano
191,2018,3/21/2018,Ijen,Java,Java,Indonesia,-8.058,114.242,"-8.058,114.242",2769,Stratovolcano
192,2018,12/22/2018,Krakatau,Indonesia,Java,Indonesia,-6.102,105.423,"-6.102,105.423",155,Caldera
193,2019,5/7/2019,Sinabung,Sumatra,Sumatra,Indonesia,3.17,98.392,"3.17,98.392",2460,Stratovolcano
194,2020,5/29/2020,Ijen,Java,Java,Indonesia,-8.058,114.242,"-8.058,114.242",2769,Stratovolcano
195,2021,5/7/2021,Sinabung,Sumatra,Sumatra,Indonesia,3.17,98.392,"3.17,98.392",2460,Stratovolcano
196,2021,3/2/2021,Sinabung,Sumatra,Sumatra,Indonesia,3.17,98.392,"3.17,98.392",2460,Stratovolcano
197,2021,2/7/2021,Raung,Java,Java,Indonesia,-8.119,114.056,"-8.119,114.056",3260,Stratovolcano
198,2021,1/16/2021,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
199,2021,1/27/2021,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
200,2021,4/29/2021,Dieng Volcanic Complex,Java,Java,Indonesia,-7.2,109.879,"-7.2,109.879",2565,Complex volcano
